Nombre
CHAMPIGNONES COCIDOS
PEPINILLOS
ZAPALLITOS ITALIANOS
BETARRAGA CRUDA
CHAMPIGNONES CRUDOS
KALE
ZAPALLITOS ITALIANOS CRUDOS
CHAMPIÑON PORTABELLA
CHAMPIÑON SHITAKE
CHAMPIÑON CONSERVA
GROSELLA
MIEL DE PALMA
ARANDANO AZUL
DAMASCO SECO
PERA DESECADA
ARROZ INTEGRAL
AVENA s/GLUTEN
TRIGO SARRACENO ( Alforfon)
PAN TRIGO INTEGRAL
CENTENO (Harina)
PAN INTEGRAL Molde
ARROZ CRUDO
CUS CUS
ARROZ COCIDO
PAN BLANCO MARRAQUETA/HALLULLA
PAN PITA
HARINA SARRACENO
HARINA INTEGRAL
HARINA ALMIDON MANDIOCA
HARINA ARROZ
HARINA MAIZENA
HARINA LINAZA
HARINA GARBANZOS
HARINA CHIA
ARVEJAS ENLATADAS drenado.
FILETE CORDERO
LECHE CABRA
REINETA FILETE
JUREL DESMENUZADO EN CONSERVA
PESCADO MEDALLÃN
ATÃN EN AGUA LOMITOS EN CONSERVA
MERLUZA O PESCADA FILETE
RONCADOR O CORVINA DE AGUA DULCE
MERLUZA O PESCADA ENTERA TROZO
SALMON FILETE
CHOLGAS
CHOLGAS EN CONSERVA
CHORITOS EN CONSERVA
"GONADAS, ERIZOS LENGUAS"
CHORO MALTON
OSTIONES
CALAMAR PICADO
CALAMAR ANILLOS
JIBIA PICADA
JIBIA TROZO
COLITAS CAMARON
CAMARON ENTERO
PICOROCO
ALMEJAS EN CONSERVA
MACHAS EN CONSERVA
SARDINA EN SALSA
CHORITOS EN ACEITE
SARDINA EN CONSERVA
ATUN DESMENUZADO EN CONSERVA
JAIBA
LOCOS
ACEITE PEPITA DE UVA
ACEITE DE MAÃZ
MAYONESA LIGHT
CHÃA
LINAZA SEMILLA
ZAPALLO SEMILLA
NUEZ
MANI SALADO
ACEITUNA VERDE SIN CAROZO
PALTA ENTERA
PALTA MITAD
PALTA MOLIDA
PALTA REBANADAS
CACAO SIN AZUCAR
CASTAÑA DE CAJU
MANZANA DESECADA
CIRUELA DESECADA
DAMASCOS SECOS
MANTECA DE CERDO/CHICHARRONES
MANTECA TROZOS
MANTECA CUCHARADAS
MANTEQUILLA TROZO Y BOLITAS
CREMA ESPESA
CREMA ACIDA LIQUIDA
"PATE DE AVE, TERNERA"
PATE DE FOIE
PAPAS FRITAS BAJAS EN GRASA
PAPAS FRITAS
PAPA CONGELADA PARA FREIR
PAPAS FRITAS EN JULIANA
PAPAS FRITAS LIGHT
PAPAS HASH BROWN
PAPAS FRITAS CON QUESO
PAPAS FRITAS CON CREMA ÃCIDA Y CEBOLLA
CHURRITOS BARCEL
DORITOS BOLSA PEQUEÑA
DORITOS BOLSA MEDIANA
DORITOS BOLSA GRANDE
DORITOS TOSTITOS BOLSAS
BUÑUELOS
DORADITAS
FRITURAS DE MAIZ CON LIMON Y SAL
PAPAS FRITAS CLASICAS BOLSA MEDIANA
PAPAS FRITAS CLASICAS BOLSA GRANDE
PAPAS FRITAS CORTE AMERICANO PEQUEÑAS
PAPAS FRITAS MEDITERRANEAS MEDIANAS
PAPAS FRITAS MEDITERRANEAS PEQUEÑAS
PAPAS FRITAS RESTO PEQUEÑAS
PAPAS FRITAS RESTO MEDIANAS
PAPAS FRITAS STAK TARRO
PAPAS FRITAS TARRO
PAPAS FRITAS TARRO GRANDE
PAPAS FRITAS TARRO CHICO
PAPAS FRITAS TARRO MEDIANO
CREMA LIGHT
CREMA ESPESA LECHE
PATE LA PIARA JAMON
PATE LA PIARA TERNERA
PATE FOIE
PATE AVE
QUESO CHANCO MANTECOSO
QUESO LAMINAS DE TROZO 1
QUESO LAMINAS DE TROZO 2
QUESO CAMEMBERT
QUESO COTTAGE
QUESO PROVOLETA
QUESO EDAM
QUESO PARMESANO RALLADO
QUESILLO LAMINADO
QUESILLO TROZO
QUESO BRIE
QUESO GRUYERE
QUESO RICOTA
QUESO RICOTA LIGHT
QUESO UNTABLE
LECHE EN POLVO 18% MAT. GRASA
LECHE EN POLVO 12% MAT. GRASA
LECHE DE SOJA
LECHE FLUIDA SEMIDESCREMADA
LECHE ENTERA PASTEURIZADA DE VACA
LECHE CON ARROZ
LECHE EN POLVO 26% MAT. GRASA
JAMON COLONIAL
JAMON PRAGA
JAMON SANWICH
JAMON DE PAVO
LONGANICILLA
QUESO CABEZA DE CERDO
VIENESA DE CERDO
POLLO CONTRE
POLLO PECHUGA FILETILLO
PATO COCIDO (SIN PIEL)
HUEVO CODORNIZ
CARNE CORDERO
CARNE CERDO
UBRE LAMINADA
LENGUA COCIDA
PANITA DE VACUNO
CHUNCHUL
CHUNCHUL PICADO
SALCICHON CERVEZA
CHORIZO ALEMAN
GORDA
"VACUNO (FILETE, ASIENTO PICANA, LOMOLISO, POLLO GANSO, POSTA NEGRA, POSTA ROSADA, CARNE MOLIDA (TARTARO), PUNTA PALETA, ABASTERO"
PULPA Y FILETE DE CERDO
"POLLO COCIDO, GALLINA PIERNA, GALLINA PECHUGA, PAVO PIERNA"
PAVO PECHUGA
CONTRE DE POLLO COCIDO
"VACUNO (LOMO VETADO, HUACHALOMO, PLATEADA, ASADO DE TIRA, TAPAPECHO, OSOBUCO, SOBRECOSTILLA)"
CARNE MOLIDA CORRIENTE DE VACUNO
CARNE PICADA
LENGUA DE VACUNO LAMINA
POLLO TRUTRO ENTERO CARNE
POLLO TRUTRO CORTO
POLLO TRUTRO LARGO
POLLO PECHUGA DESHUESADA
POLLO ALA
POLLO TRUTRO ALA
POLLO PATA
POLLO PICADO
PAVO OSOBUCO
PAVO ALA MEDIA
PAVO TRUTRO ALA
PAVO TRURO CORTO
CERDO PULPA
CERDO COSTILLAR
CERDO CHULETA
CERDO PERNIL
CERDO PERNIL LAMINA
CERDO PICADO
CERDO CUERO EN JULIANA
CONEJO MUSLO
CONEJO LOMO
CONEJO PATA
CHARQUI EQUINO
"MEMBRILLO, DULCE"
PROMEDIO BEBIDAS GASEOSAS
PROMEDIO NECTAR
ANDYFRUT
COCACOLA
HELADO PIÑA
PROMEDIO HELADOS DE AGUA
FRUTILLA A
LUCUMA A
CHOCOLATE A
CHIRIMOYA A
DANKY
"WHISKY, RON VODKA"
Ginebra
Oporto
Ron blanco o aÃ±ejo
Sidra
Tequila
Vermouth seco
Vino (12.2% alcohol)
Vino blanco dulce
Vino blanco seco
Vino de manzana
Vino de mesa
Vino espumoso
Vino rosado
Whisky
Aguardiente
Anis dulce o seco
Brandy
Cerveza (lata 356ml)
Cerveza light (lata 356ml)
Champaña
Coñac
Cereales azucarados
Cereales tipo Natur
Hojuela de maiz
Cereales sin azucar
Barra cereales con azucar
Barra cereales sin azucar
CHOCOLATE /ALMENDRAS
PROMEDIO CAPRI
CHOCOLARE EN BARRA
