BERENJENA,Taza,1,41,1,82,2,164,BERENJENA,1 Taza,1 Taza,2 Taza,41,82,164
CEBOLLIN,Taza,1,25,1,50,2,75,CEBOLLIN,1 Taza,1 Taza,2 Taza,25,50,75
CHAMPIGÑON OSTRA,Unidad,1,25,2,50,3,75,CHAMPIÑON OSTRA,1 Unidad,2 Unidad,3 Unidad,25,50,75
CHAMPIGÑON PORTABELLA,taza,1,35,1,70,2,140,CHAMPIÑON PORTABELLA,1 taza,1 taza,2 taza,35,70,140
CHAMPIGÑON SHITAKE,Unidad,2,35,1,70,2,140,CHAMPIÑON SHITAKE,2 Unidad,1 Unidad,2 Unidad,35,70,140
CHAMIPIGÑON CONSERVA,Unidad,1,45,2,85,3,135,CHAMPIÑON CONSERVA,1 Unidad,2 Unidad,3 Unidad,45,85,135
COCHAYUYO,Unidad,1,25,2,50,3,75,COCHAYUYO,1 Unidad,2 Unidad,3 Unidad,25,50,75
NABO,Unidad,1,50,1,100,2,200,NABO,1 Unidad,1 Unidad,2 Unidad,50,100,200
CAQUI,Unidad,1,150,1,250,1,400,CAQUI,1 Unidad,1 Unidad,1 Unidad,150,250,400
CEREZAS,Unidad,6,35,15,90,25,150,CEREZAS,6 Unidad,15 Unidad,25 Unidad,35,90,150
CHIRIMOYA,Unidad,0,90,1,180,1,360,CHIRIMOYA,0 Unidad,1 Unidad,1 Unidad,90,180,360
CIRUELAS,Unidad,1,40,3,110,5,180,CIRUELAS,1 Unidad,3 Unidad,5 Unidad,40,110,180
DAMASCO,Unidad,1,40,3,120,5,200,DAMASCO,1 Unidad,3 Unidad,5 Unidad,40,120,200
DURAZNO,Unidad,1,70,1,130,2,250,DURAZNO,1 Unidad,1 Unidad,2 Unidad,70,130,250
DURAZNOS EN CONSERVA,Unidad,1,40,2,80,3,120,DURAZNOS EN CONSERVA,1 Unidad,2 Unidad,3 Unidad,40,80,120
FRAMBUEZA,Taza,1,65,1,130,2,250,FRAMBUEZA,1 Taza,1 Taza,2 Taza,65,130,250
FRUTILLA,Taza,1,100,1,200,2,300,FRUTILLA,1 Taza,1 Taza,2 Taza,100,200,300
GROSELLA,Taza,1,100,1,200,2,300,GROSELLA,1 Taza,1 Taza,2 Taza,100,200,300
HIGOS FRESCOS,Unidad,1,40,2,80,4,160,HIGOS FRESCOS,1 Unidad,2 Unidad,4 Unidad,40,80,160
KIWI,Unidad,1,50,2,100,4,200,KIWI,1 Unidad,2 Unidad,4 Unidad,50,100,200
LIMON FRUTO,Unidad,1,60,3,180,5,270,LIMON FRUTO,1 Unidad,3 Unidad,5 Unidad,60,180,270
"LUCUMA, PASTA,Taza,1,45,1,90,2,160,""LUCUMA, PASTA"",1 Taza,1 Taza,2 Taza,45,90,160"
MANZANA,Unidad,1,60,1,120,2,250,MANZANA,1 Unidad,1 Unidad,2 Unidad,60,120,250
MELON,Taza,1,90,1,180,2,360,MELON,1 Taza,1 Taza,2 Taza,90,180,360
MEMBRILLO,Unidad,1,60,1,120,2,250,MEMBRILLO,1 Unidad,1 Unidad,2 Unidad,60,120,250
MORA,Unidad,0,60,1,120,1,240,MORA,0 Unidad,1 Unidad,1 Unidad,60,120,240
NARANJA,Unidad,1,70,1,130,2,260,NARANJA,1 Unidad,1 Unidad,2 Unidad,70,130,260
NISPERO,Unidad,4,60,7,120,10,160,NISPERO,4 Unidad,7 Unidad,10 Unidad,60,120,160
PALTA,Cucharada,3,45,6,90,10,150,PALTA,3 Cucharada,6 Cucharada,10 Cucharada,45,90,150
PAPAYA,Unidad,1,65,1,130,1,260,PAPAYA,1 Unidad,1 Unidad,1 Unidad,65,130,260
PEPINO DULCE,Unidad,1,130,1,240,2,350,PEPINO DULCE,1 Unidad,1 Unidad,2 Unidad,130,240,350
PERA,Unidad,1,70,1,130,2,270,PERA,1 Unidad,1 Unidad,2 Unidad,70,130,270
